sender,distinct_eoas,arbs_with_tx,median_arbs_per_eoa,top_eoa_share,top3_eoa_share,strict_arbs,pools,tx_to_equals_sender_share,public,wallet_rotation,operator
0x2ec177695832b6784617f7920f47b1ffb66b4180,1,179,179.0,1.0,1.0,179,2,1.0,False,False,c:0x2ec177695832b6784617f7920f47b1ffb66b4180
0x28421ef5c8d130d075f99fcb5e864ce4f870bfef,58,142,2.0,0.04929577464788732,0.1267605633802817,165,4,0.6909090909090909,True,False,public
0xbc1d9760bd6ca468ca9fb5ff2cfbeac35d86c973,111,146,1.0,0.0410958904109589,0.11643835616438356,164,4,0.5548780487804879,True,False,public
0x8b469c1bc168716b080a77b1226105890edf37ae,47,127,3.0,0.047244094488188976,0.12598425196850394,158,4,0.8037974683544303,False,True,c:0x8b469c1bc168716b080a77b1226105890edf37ae
0x081df5b08fd64abee82c34c0dee72084d01c3987,62,132,2.0,0.05303030303030303,0.14393939393939395,143,4,0.9230769230769231,True,False,public
0x829de98f1da7b8d527ddc7c9a1a1b204a4dc35ea,26,141,4.5,0.07801418439716312,0.2127659574468085,141,1,0.0,False,False,c:0x829de98f1da7b8d527ddc7c9a1a1b204a4dc35ea
0x0000008ff94df6b6f32f96a13daa36d6b1d14be3,6,140,23.5,0.19285714285714287,0.5428571428571428,140,1,1.0,False,False,c:0x0000008ff94df6b6f32f96a13daa36d6b1d14be3
0x8a3da22d0aecd1b17aabc94302159949d25eba4c,96,104,1.0,0.019230769230769232,0.057692307692307696,134,4,0.0,True,False,public
0xda77c035e4d5a748b4ab6674327fa446f17098a2,126,127,1.0,0.015748031496062992,0.031496062992125984,128,3,0.9921875,True,False,public
0x6ed1af35aef3b9b132ef02323b0939c514c65c22,1,104,104.0,1.0,1.0,127,4,0.8188976377952756,False,False,c:0x6ed1af35aef3b9b132ef02323b0939c514c65c22
0x8153e6ef8725a02b63807a63838860fcdb0d5fd9,68,112,1.5,0.03571428571428571,0.08928571428571429,122,4,0.9180327868852459,True,False,public
0x21b0c9650d5b136c9760e5c73beaec73488ccdd0,53,84,1.0,0.05952380952380952,0.15476190476190477,111,4,0.7567567567567568,True,False,public
0x82371eb96a43ee566ee9930b4607335bc2d5b711,4,97,11.5,0.7216494845360825,0.9587628865979382,111,4,0.8738738738738738,False,False,c:0x82371eb96a43ee566ee9930b4607335bc2d5b711
0xd0a0e9db8b167242e47bf19256cf90263550c7e7,73,88,1.0,0.03409090909090909,0.07954545454545454,108,4,0.8148148148148148,True,False,public
0xe24674df4c456f5c63aa490d753816b968aa5f1e,65,95,1.0,0.11578947368421053,0.28421052631578947,107,4,0.0,True,False,public
0xe7eea05edcde7cedc97465d1c44577dc8401be19,61,75,1.0,0.04,0.10666666666666667,103,4,0.7281553398058253,True,False,public
0x19113a761706a5914bb272690dc5d691554c12b5,49,102,2.0,0.06862745098039216,0.16666666666666666,103,4,0.9902912621359223,True,False,public
0x50cda62b7463b0d37eb26ccc500e93981c34ce56,11,102,9.0,0.13725490196078433,0.3627450980392157,102,1,1.0,False,False,c:0x56c77a490f16ab2c06b28c15729b0b89cf33bdad
