sender,distinct_eoas,arbs_with_tx,median_arbs_per_eoa,top_eoa_share,top3_eoa_share,strict_arbs,pools,tx_to_equals_sender_share,public,wallet_rotation,operator
0x6e4141d33021b52c91c28608403db4a0ffb50ec6,132,456,1.0,0.22149122807017543,0.3969298245614035,471,4,0.0,True,False,public
0x32ddc51e48256ca3c080bbb5ec6a19fb6d021ec4,50,457,9.5,0.061269146608315096,0.15536105032822758,466,2,0.98068669527897,False,True,c:0x32ddc51e48256ca3c080bbb5ec6a19fb6d021ec4
0x6166bd61e8eca7ae942046fb6251a998a2d7c687,199,423,1.0,0.06382978723404255,0.12056737588652482,445,4,0.0,True,False,public
0xda006dcb8ab8b670c98fe5103340a16387187d7e,1,429,429.0,1.0,1.0,441,4,0.9727891156462585,False,False,c:0xda006dcb8ab8b670c98fe5103340a16387187d7e
0x4a50dfa71ef3dac520a685427a1bb8bbe30608a6,2,416,208.0,0.9831730769230769,1.0,421,4,0.0,False,False,c:0x4a50dfa71ef3dac520a685427a1bb8bbe30608a6
0x95df2693b312cb9ac7ea169aabeae04bac58015c,262,376,1.0,0.010638297872340425,0.031914893617021274,394,4,0.9543147208121827,True,False,public
0xda77c035e4d5a748b4ab6674327fa446f17098a2,360,388,1.0,0.007731958762886598,0.023195876288659795,391,2,0.9923273657289002,True,False,public
0xfaecbdb3817c5bb31442e9c41874ecf5ba09de42,36,340,9.5,0.04411764705882353,0.12941176470588237,355,4,0.9577464788732394,False,True,c:0xfaecbdb3817c5bb31442e9c41874ecf5ba09de42
0x1546846a0aa3d2a4b2077f2e01dd4f3ea33d81df,10,330,34.5,0.13333333333333333,0.3696969696969697,341,3,0.967741935483871,False,False,c:0x1546846a0aa3d2a4b2077f2e01dd4f3ea33d81df
0x9f96e3e9f7a944ae8e7bd3b3edf11f0cb40e8d27,1,308,308.0,1.0,1.0,340,3,0.9058823529411765,False,False,c:0x9f96e3e9f7a944ae8e7bd3b3edf11f0cb40e8d27
0xa87add891c727571bf07297cc8883c11ba7a73f0,1,290,290.0,1.0,1.0,309,4,0.9385113268608414,False,False,c:0xa87add891c727571bf07297cc8883c11ba7a73f0
0xe82c715e37f2f2e190dd2ca86fb796cafaf0beff,18,301,14.5,0.12292358803986711,0.29900332225913623,301,4,1.0,False,False,c:0xe82c715e37f2f2e190dd2ca86fb796cafaf0beff
0xee9593b1e2cfd4a1511d2dbe22db765d6194d038,63,290,4.0,0.034482758620689655,0.09310344827586207,293,4,0.9897610921501706,False,True,c:0xee9593b1e2cfd4a1511d2dbe22db765d6194d038
0xfd7ac7e9dfbb78a0ab17b2476bb890f178120d1d,10,261,26.5,0.12643678160919541,0.36015325670498083,264,4,0.9886363636363636,False,False,c:0xfd7ac7e9dfbb78a0ab17b2476bb890f178120d1d
0x96b4ede94dd5d1c45f8c5b41071f6e785f41e662,12,230,14.0,0.3217391304347826,0.5043478260869565,236,3,0.9745762711864406,False,False,c:0x96b4ede94dd5d1c45f8c5b41071f6e785f41e662
0x9be520b4ee9f702dbafe21eede032f2454010498,124,222,1.0,0.19369369369369369,0.4009009009009009,226,4,0.9823008849557522,True,False,public
