fork,window,spec,outcome,lag0,_b_lag0,_se_lag0,lag250,_b_lag250,_se_lag250,Δ (lag250 − lag0),share of prediction lag0 / lag250,elasticity lag0 / lag250
Fermi,±30 d,RD,overshoot (all),-0.062 (0.038),-0.06227772658525817,0.03833576701550667,-0.106*** (0.040),-0.10636735776784192,0.039986663209101166,-0.044,,
Fermi,±30 d,RD,arb profit,-0.137** (0.065),-0.13730323141885098,0.06543204403568297,-0.286*** (0.077),-0.28616138649070266,0.077038288731009,-0.149,,
Fermi,±30 d,RD,LP loss (total),+0.030* (0.018),0.029892206878029706,0.01794481125216314,+0.021 (0.018),0.021259347968395532,0.017583422950473136,-0.009,,
Fermi,±30 d,RD,loss per arb,-0.064 (0.044),-0.06356812516052271,0.04416986837922935,-0.068 (0.043),-0.06786431906022533,0.043182980386510424,-0.004,,
Fermi,±30 d,RD,arbs/h,-0.020 (0.039),-0.019867879224729153,0.03871281521166506,-0.071* (0.038),-0.07120484679083289,0.038205968509402354,-0.051,,
Fermi,±14 d,σ,overshoot (strict),-0.093*** (0.034),-0.09348871342301311,0.03438058476335562,-0.120*** (0.033),-0.120459206165517,0.03300780103557714,-0.027,37% / 47%,0.18 / 0.24
Fermi,±14 d,σ,overshoot (all),-0.021 (0.029),-0.02075173551046161,0.02870876041732897,-0.060** (0.029),-0.05982529486992052,0.029458329329563673,-0.039,,
Fermi,±14 d,σ,arb profit,-0.152 (0.095),-0.15224018116469612,0.0947551907313688,-0.278*** (0.104),-0.27807957547213563,0.10360971296959962,-0.126,,
Fermi,±14 d,σ,LP loss (total),-0.093 (0.059),-0.093184167099429,0.05902855563900394,-0.104* (0.059),-0.1036768928151388,0.05937846354969737,-0.010,,
Fermi,±14 d,σ,loss per arb,-0.177*** (0.051),-0.17677235857846682,0.0508590075105981,-0.176*** (0.051),-0.17638686416255098,0.051377724388307,+0.000,,
Fermi,±14 d,σ,arbs/h,+0.039 (0.033),0.03900442582463733,0.032941612673349704,-0.011 (0.033),-0.010691157632662252,0.03309002246665505,-0.050,,
Fermi,±14 d,σ+L+vol,overshoot (strict),-0.131*** (0.028),-0.13146689841015533,0.028111883232263487,-0.160*** (0.027),-0.15973921819268136,0.026847850017645256,-0.028,51% / 63%,0.26 / 0.31
Fermi,±14 d,σ+L+vol,overshoot (all),-0.045 (0.027),-0.044987385378274965,0.02745296038862094,-0.086*** (0.028),-0.08605315361839615,0.028097550665918503,-0.041,,
Fermi,±14 d,σ+L+vol,arb profit,-0.088* (0.048),-0.08811425475848988,0.04784162889360274,-0.217*** (0.054),-0.21723632972910184,0.05354344162910576,-0.129,,
Fermi,±14 d,σ+L+vol,LP loss (total),-0.004 (0.013),-0.0042417767270857675,0.012531079367395063,-0.017 (0.012),-0.016531395431218107,0.012433543108023555,-0.012,,
Fermi,±14 d,σ+L+vol,loss per arb,-0.102*** (0.031),-0.10199279907450116,0.03133387365765956,-0.103*** (0.031),-0.10282761054035439,0.0307209019733079,-0.001,,
Fermi,±14 d,σ+L+vol,arbs/h,+0.028 (0.026),0.02794907695923581,0.026235034148568825,-0.025 (0.027),-0.025072355470182398,0.026581925471460297,-0.053,,
Fermi,±14 d,σ+L+vol+trend,overshoot (strict),-0.017 (0.047),-0.016646668588365294,0.04665123664322348,-0.058 (0.045),-0.05781756110646347,0.04512056632381953,-0.041,7% / 23%,0.03 / 0.11
Fermi,±14 d,σ+L+vol+trend,overshoot (all),+0.010 (0.043),0.009732904357871441,0.04276594478431902,-0.044 (0.042),-0.04427318713485486,0.0417198200430341,-0.054,,
Fermi,±14 d,σ+L+vol+trend,arb profit,-0.071 (0.069),-0.07104811531156273,0.06876234381524281,-0.236*** (0.082),-0.23585174697389746,0.08219117663303843,-0.165,,
Fermi,±14 d,σ+L+vol+trend,LP loss (total),+0.017 (0.027),0.016536753954428038,0.026595711111785162,-0.000 (0.026),-0.00019379624954085975,0.0264693771203565,-0.017,,
Fermi,±14 d,σ+L+vol+trend,loss per arb,-0.002 (0.058),-0.002075476940712082,0.05815989740158806,-0.017 (0.057),-0.01678826870356942,0.056598030169912605,-0.015,,
Fermi,±14 d,σ+L+vol+trend,arbs/h,-0.035 (0.058),-0.03533709227456829,0.057903187250300865,-0.082 (0.061),-0.08189095255510208,0.06085998624865462,-0.047,,
Fermi,±14 d,RD,overshoot (strict),-0.013 (0.045),-0.013063948130550639,0.044854316619467746,-0.053 (0.042),-0.05337318514848569,0.04159339306123321,-0.040,5% / 21%,0.03 / 0.10
Fermi,±14 d,RD,overshoot (all),+0.009 (0.042),0.008863854425483401,0.04198399981750899,-0.046 (0.041),-0.04567485782741659,0.04118210272119379,-0.055,,
Fermi,±14 d,RD,arb profit,-0.073 (0.068),-0.07335791193059216,0.06841676187216046,-0.238*** (0.082),-0.2378718345821322,0.08241534307350912,-0.165,,
Fermi,±14 d,RD,LP loss (total),+0.017 (0.028),0.017259435172315256,0.027794869892574826,+0.000 (0.028),0.00044306302485078164,0.02758931822075395,-0.017,,
Fermi,±14 d,RD,loss per arb,-0.004 (0.057),-0.004469200261886883,0.057174657173843624,-0.018 (0.056),-0.018490941519625978,0.05579610507692496,-0.014,,
Fermi,±14 d,RD,arbs/h,-0.031 (0.058),-0.03144863797088795,0.05793399563179093,-0.079 (0.061),-0.07871174855782254,0.0608313163341409,-0.047,,
Fermi,±7 d,σ,overshoot (strict),+0.002 (0.045),0.001546683911255136,0.045211018213334814,-0.035 (0.043),-0.035203565286370586,0.04347212098905539,-0.037,-1% / 14%,-0.00 / 0.07
Fermi,±7 d,σ,overshoot (all),+0.009 (0.034),0.00941529161248262,0.03408179461005236,-0.036 (0.035),-0.03600285791609836,0.03509042776452444,-0.045,,
Fermi,±7 d,σ,arb profit,-0.351*** (0.134),-0.3509032230652777,0.13391235827540196,-0.502*** (0.146),-0.5020574317548844,0.145707914003322,-0.151,,
Fermi,±7 d,σ,LP loss (total),-0.248*** (0.086),-0.24763299828328408,0.08633145710393578,-0.260*** (0.085),-0.2603190973234029,0.08542221542741829,-0.013,,
Fermi,±7 d,σ,loss per arb,-0.247*** (0.071),-0.24743772396853803,0.07073275349779873,-0.255*** (0.071),-0.2547089353834407,0.07089127452356357,-0.007,,
Fermi,±7 d,σ,arbs/h,-0.043 (0.047),-0.04347894660729464,0.04709435216253226,-0.089* (0.048),-0.08925133445581825,0.04824723181978783,-0.046,,
Fermi,±7 d,σ+L+vol,overshoot (strict),-0.057 (0.035),-0.057241672537375984,0.03536440195695032,-0.100*** (0.035),-0.09977673996657337,0.03490429815330815,-0.043,22% / 39%,0.11 / 0.20
Fermi,±7 d,σ+L+vol,overshoot (all),-0.006 (0.031),-0.0060116423625239225,0.031144065956277032,-0.053* (0.031),-0.052677078921513805,0.031276630721078245,-0.047,,
Fermi,±7 d,σ+L+vol,arb profit,-0.091* (0.055),-0.09148835939200331,0.054858671429848974,-0.237*** (0.061),-0.2374684762744061,0.06132436975793192,-0.146,,
Fermi,±7 d,σ+L+vol,LP loss (total),-0.004 (0.022),-0.004155188881538267,0.02208051942820934,-0.020 (0.022),-0.020174842253934448,0.021802558534515255,-0.016,,
Fermi,±7 d,σ+L+vol,loss per arb,-0.022 (0.039),-0.02184541315314799,0.039339784887622915,-0.030 (0.039),-0.029965437143805566,0.038517903697930074,-0.008,,
Fermi,±7 d,σ+L+vol,arbs/h,-0.047 (0.039),-0.047390515075811906,0.039095876627117276,-0.099** (0.041),-0.0991691151527648,0.041174467676965865,-0.052,,
Fermi,±7 d,σ+L+vol+trend,overshoot (strict),-0.043 (0.067),-0.042786043709107956,0.06655664309256369,-0.084 (0.069),-0.08394669713859768,0.06940901562028602,-0.041,17% / 33%,0.08 / 0.16
Fermi,±7 d,σ+L+vol+trend,overshoot (all),-0.022 (0.053),-0.021941502130117488,0.05340478407211463,-0.073 (0.052),-0.07339039924640062,0.052169231137344514,-0.051,,
