窗口,控制,被解释变量,kline,tick,差（tick−kline）,Δt 弹性 kline,Δt 弹性 tick
±30 d,RD,log 越界幅度（全部）,-0.145*** (0.034),-0.094*** (0.032),+0.051,0.21,0.14
±30 d,RD,log 套利者利润,-0.362*** (0.060),-0.245*** (0.056),+0.117,0.52,0.35
±30 d,RD,log 单笔 LP 损失,-0.200*** (0.052),-0.187*** (0.051),+0.014,,
±30 d,RD,log LP 损失（总）,-0.086*** (0.020),-0.066*** (0.020),+0.021,,
±30 d,RD,log 套利笔数,+0.035 (0.039),+0.053 (0.039),+0.018,,
±14 d,σ,log 越界幅度（严格）,-0.490*** (0.038),-0.460*** (0.035),+0.029,0.71,0.66
±14 d,σ,log 越界幅度（全部）,-0.244*** (0.029),-0.191*** (0.027),+0.053,0.35,0.28
±14 d,σ,log 套利者利润,+0.062 (0.048),+0.172*** (0.047),+0.110,-0.09,-0.25
±14 d,σ,log 单笔 LP 损失,-0.186*** (0.042),-0.174*** (0.042),+0.012,,
±14 d,σ,log LP 损失（总）,+0.197*** (0.033),+0.218*** (0.033),+0.020,,
±14 d,σ,log 套利笔数,+0.405*** (0.054),+0.423*** (0.054),+0.018,,
±14 d,σ+L+vol,log 越界幅度（严格）,-0.391*** (0.040),-0.357*** (0.036),+0.034,0.56,0.51
±14 d,σ+L+vol,log 越界幅度（全部）,-0.255*** (0.034),-0.201*** (0.032),+0.054,0.37,0.29
±14 d,σ+L+vol,log 套利者利润,-0.391*** (0.059),-0.278*** (0.057),+0.113,0.56,0.40
±14 d,σ+L+vol,log 单笔 LP 损失,-0.300*** (0.043),-0.288*** (0.043),+0.012,,
±14 d,σ+L+vol,log LP 损失（总）,-0.058*** (0.021),-0.038* (0.021),+0.020,,
±14 d,σ+L+vol,log 套利笔数,+0.111*** (0.028),+0.130*** (0.029),+0.019,,
±14 d,σ+L+vol+趋势,log 越界幅度（严格）,-0.205*** (0.057),-0.185*** (0.047),+0.020,0.30,0.27
±14 d,σ+L+vol+趋势,log 越界幅度（全部）,-0.030 (0.039),+0.006 (0.037),+0.037,0.04,-0.01
±14 d,σ+L+vol+趋势,log 套利者利润,-0.261*** (0.094),-0.173** (0.085),+0.088,0.38,0.25
±14 d,σ+L+vol+趋势,log 单笔 LP 损失,-0.025 (0.061),-0.015 (0.059),+0.011,,
±14 d,σ+L+vol+趋势,log LP 损失（总）,-0.110*** (0.023),-0.093*** (0.023),+0.017,,
±14 d,σ+L+vol+趋势,log 套利笔数,-0.114*** (0.034),-0.098*** (0.034),+0.017,,
±14 d,RD,log 越界幅度（严格）,-0.204*** (0.053),-0.185*** (0.044),+0.020,0.29,0.27
±14 d,RD,log 越界幅度（全部）,-0.029 (0.035),+0.007 (0.035),+0.036,0.04,-0.01
±14 d,RD,log 套利者利润,-0.257*** (0.080),-0.169** (0.075),+0.088,0.37,0.24
±14 d,RD,log 单笔 LP 损失,-0.025 (0.060),-0.014 (0.059),+0.011,,
±14 d,RD,log LP 损失（总）,-0.110*** (0.023),-0.093*** (0.022),+0.017,,
±14 d,RD,log 套利笔数,-0.114*** (0.036),-0.097*** (0.036),+0.017,,
±7 d,σ,log 越界幅度（严格）,-0.345*** (0.049),-0.319*** (0.041),+0.027,0.50,0.46
±7 d,σ,log 越界幅度（全部）,-0.149*** (0.039),-0.103*** (0.037),+0.046,0.21,0.15
±7 d,σ,log 套利者利润,-0.032 (0.083),+0.077 (0.079),+0.109,0.05,-0.11
±7 d,σ,log 单笔 LP 损失,-0.019 (0.042),-0.007 (0.041),+0.013,,
±7 d,σ,log LP 损失（总）,+0.142*** (0.039),+0.163*** (0.039),+0.021,,
±7 d,σ,log 套利笔数,+0.127** (0.050),+0.145*** (0.050),+0.019,,
±7 d,σ+L+vol,log 越界幅度（严格）,-0.272*** (0.052),-0.247*** (0.043),+0.024,0.39,0.36
±7 d,σ+L+vol,log 越界幅度（全部）,-0.109*** (0.031),-0.064** (0.030),+0.045,0.16,0.09
±7 d,σ+L+vol,log 套利者利润,-0.325*** (0.066),-0.218*** (0.062),+0.107,0.47,0.31
±7 d,σ+L+vol,log 单笔 LP 损失,-0.150*** (0.055),-0.139** (0.054),+0.011,,
±7 d,σ+L+vol,log LP 损失（总）,-0.099*** (0.019),-0.080*** (0.018),+0.019,,
±7 d,σ+L+vol,log 套利笔数,-0.027 (0.027),-0.006 (0.028),+0.022,,
±7 d,σ+L+vol+趋势,log 越界幅度（严格）,-0.125* (0.070),-0.118** (0.059),+0.007,0.18,0.17
±7 d,σ+L+vol+趋势,log 越界幅度（全部）,-0.037 (0.047),-0.002 (0.046),+0.035,0.05,0.00
±7 d,σ+L+vol+趋势,log 套利者利润,-0.146 (0.105),-0.072 (0.093),+0.074,0.21,0.10
±7 d,σ+L+vol+趋势,log 单笔 LP 损失,-0.041 (0.091),-0.034 (0.089),+0.007,,
±7 d,σ+L+vol+趋势,log LP 损失（总）,-0.059** (0.028),-0.045 (0.028),+0.014,,
±7 d,σ+L+vol+趋势,log 套利笔数,-0.040 (0.050),-0.028 (0.050),+0.013,,
