窗口,控制,被解释变量,kline,_b_kline,_se_kline,_n_kline,tick,_b_tick,_se_tick,_n_tick,差（tick−kline）,Δt 弹性 kline,Δt 弹性 tick,_preslope_kline,_preslope_se_kline,_preslope_tick,_preslope_se_tick
±30 d,σ+L+vol+趋势,log 越界幅度（严格）,-0.324*** (0.045),-0.32445742076246986,0.04548708204184664,4322,-0.291*** (0.041),-0.2910846341931629,0.041143774216042046,4322,+0.033,0.47,0.42,,,,
±30 d,σ+L+vol+趋势,log 越界幅度（全部）,-0.145*** (0.036),-0.14456899026852668,0.03622682203408449,4322,-0.094*** (0.034),-0.09378588336896224,0.033858930896584455,4322,+0.051,0.21,0.14,,,,
±30 d,σ+L+vol+趋势,log 套利者利润,-0.361*** (0.066),-0.361351365664289,0.06555610851593788,4316,-0.244*** (0.062),-0.24384659796978664,0.062147511981900945,4314,+0.118,0.52,0.35,,,,
±30 d,σ+L+vol+趋势,log 单笔 LP 损失,-0.201*** (0.051),-0.2013263412783185,0.05125728414360262,4322,-0.188*** (0.051),-0.1876437078404877,0.05057968146529688,4322,+0.014,,,,,,
±30 d,σ+L+vol+趋势,log LP 损失（总）,-0.087*** (0.021),-0.08661867497064503,0.020977146692391466,4322,-0.066*** (0.021),-0.06606055803910359,0.02081384279015508,4322,+0.021,,,,,,
±30 d,σ+L+vol+趋势,log 套利笔数,+0.037 (0.044),0.036646579407696896,0.044122143334833205,4322,+0.054 (0.044),0.05444997837668683,0.04379754501583841,4322,+0.018,,,,,,
±30 d,RD,log 越界幅度（严格）,-0.325*** (0.041),-0.32505434262043337,0.04065917064728721,4322,-0.292*** (0.036),-0.29176471787445607,0.0360017889094921,4322,+0.033,0.47,0.42,-0.003149635202140106,0.0010692994788581282,-0.0032388242044131027,0.0010509203867226568
±30 d,RD,log 越界幅度（全部）,-0.145*** (0.034),-0.14493776360634242,0.03357745735925677,4322,-0.094*** (0.032),-0.09416347526012095,0.03177751214245687,4322,+0.051,0.21,0.14,-0.0049720017791871325,0.0010186912545351254,-0.004840677564360344,0.0010128080467681176
±30 d,RD,log 套利者利润,-0.362*** (0.060),-0.361994381994892,0.06010416097153109,4316,-0.245*** (0.056),-0.24454831890449577,0.05620122910460388,4314,+0.117,0.52,0.35,0.0016927927355507803,0.001581920786802828,0.001641267712360282,0.0016019334662998224
±30 d,RD,log 单笔 LP 损失,-0.200*** (0.052),-0.2004441406943627,0.05160652263429882,4322,-0.187*** (0.051),-0.18668962589003585,0.05098043616474408,4322,+0.014,,,-0.010395693222843085,0.0015185304703435414,-0.010358187180790498,0.0015124120174269439
±30 d,RD,log LP 损失（总）,-0.086*** (0.020),-0.08636281001151332,0.01992741005444195,4322,-0.066*** (0.020),-0.06578941984273526,0.019770651092129398,4322,+0.021,,,0.0005742460337327771,0.0006666482674016282,0.0006302774071078362,0.0006738346645144598
±30 d,RD,log 套利笔数,+0.035 (0.039),0.03549293897642689,0.03933672187003568,4322,+0.053 (0.039),0.05318149333359023,0.03945704464258307,4322,+0.018,,,0.009944716613430403,0.0012645047422465683,0.00992877389820556,0.0012621009545855611
±14 d,σ,log 越界幅度（严格）,-0.490*** (0.038),-0.48971991862344416,0.03781562101345829,2015,-0.460*** (0.035),-0.4603080140014269,0.035488253240732896,2015,+0.029,0.71,0.66,,,,
±14 d,σ,log 越界幅度（全部）,-0.244*** (0.029),-0.24392586435263378,0.028760935812757488,2015,-0.191*** (0.027),-0.19084391920123786,0.027331542359593456,2015,+0.053,0.35,0.28,,,,
